ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PA 12:0,368.160008,369.167288,386.193838,391.150008,367.152728,0
PA 16:0,424.222608,425.229888,442.256438,447.212608,423.215328,0
PA 20:0,480.285208,481.292488,498.319038,503.275208,479.277928,0
PA 20:1;O,494.264473,495.271753,512.298303,517.254473,493.257193,0
PA 21:1;O,508.280123,509.287403,526.313953,531.270123,507.272843,0
PA 20:1;O2,510.259388,511.266668,528.293218,533.249388,509.252108,0
PA 22:2;O,520.280123,521.287403,538.313953,543.270123,519.272843,0
PA 21:1;O2,524.275038,525.282318,542.308868,547.265038,523.267758,0
PA 23:2;O,534.295773,535.303053,552.329603,557.285773,533.288493,0
PA 22:2;O2,536.275038,537.282318,554.308868,559.265038,535.267758,0
PA 24:0,536.347808,537.355088,554.381638,559.337808,535.340528,0
PA 23:3;O2,548.275038,549.282318,566.308868,571.265038,547.267758,0
PA 23:2;O2,550.290688,551.297968,568.324518,573.280688,549.283408,0
PA 25:0,550.363458,551.370738,568.397288,573.353458,549.356178,0
PA 24:3;O2,562.290688,563.297968,580.324518,585.280688,561.283408,0
PA 26:1,562.363458,563.370738,580.397288,585.353458,561.356178,0
PA 23:3;O3,564.269953,565.277233,582.303783,587.259953,563.262673,0
PA 24:2;O2,564.306338,565.313618,582.340168,587.296338,563.299058,0
PA 25:1;O,564.342723,565.350003,582.376553,587.332723,563.335443,0
PA 26:0,564.379108,565.386388,582.412938,587.369108,563.371828,0
PA 23:2;O3,566.285603,567.292883,584.319433,589.275603,565.278323,0
PA 25:4;O2,574.290688,575.297968,592.324518,597.280688,573.283408,0
PA 25:3;O2,576.306338,577.313618,594.340168,599.296338,575.299058,0
PA 27:1,576.379108,577.386388,594.412938,599.369108,575.371828,0
PA O-28:1,576.415493,577.422773,594.449323,599.405493,575.408213,0
PA 24:3;O3,578.285603,579.292883,596.319433,601.275603,577.278323,0
PA 27:0,578.394758,579.402038,596.428588,601.384758,577.387478,0
PA O-28:0,578.431143,579.438423,596.464973,601.421143,577.423863,0
PA 24:2;O3,580.301253,581.308533,598.335083,603.291253,579.293973,0
PA 25:1;O2,580.337638,581.344918,598.371468,603.327638,579.330358,0
PA 26:4;O2,588.306338,589.313618,606.340168,611.296338,587.299058,0
PA 28:2,588.379108,589.386388,606.412938,611.369108,587.371828,0
PA 25:4;O3,590.285603,591.292883,608.319433,613.275603,589.278323,0
PA 26:3;O2,590.321988,591.329268,608.355818,613.311988,589.314708,0
PA 27:2;O,590.358373,591.365653,608.392203,613.348373,589.351093,0
PA 28:1,590.394758,591.402038,608.428588,613.384758,589.387478,0
PA O-29:1,590.431143,591.438423,608.464973,613.421143,589.423863,0
PA 25:3;O3,592.301253,593.308533,610.335083,615.291253,591.293973,0
