ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
LPC 2:0,299.113392,300.120672,317.147222,322.102612,0,344.111592
LPC 3:1,311.113392,312.120672,329.147222,334.102612,0,356.111592
LPC 3:0,313.129042,314.136322,331.162872,336.118262,0,358.127242
PC O-3:0,313.129042,314.136322,331.162872,336.118262,0,358.127242
LPC 4:0,327.144692,328.151972,345.178522,350.133912,0,372.142892
PC O-4:0,327.144692,328.151972,345.178522,350.133912,0,372.142892
LPC O-5:0,327.181077,328.188357,345.214907,350.170297,0,372.179277
PC 4:0,341.123957,342.131237,359.157787,364.113177,0,386.122157
LPC 5:0,341.160342,342.167622,359.194172,364.149562,0,386.158542
LPC 6:0,355.175992,356.183272,373.209822,378.165212,0,400.174192
PC 6:0,369.155257,370.162537,387.189087,392.144477,0,414.153457
LPC 7:0,369.191642,370.198922,387.225472,392.180862,0,414.189842
LPC 8:0,383.207292,384.214572,401.241122,406.196512,0,428.205492
LPC O-10:1,395.243677,396.250957,413.277507,418.232897,0,440.241877
PC 8:0,397.186557,398.193837,415.220387,420.175777,0,442.184757
LPC 9:0,397.222942,398.230222,415.256772,420.212162,0,442.221142
LPC 10:0,411.238592,412.245872,429.272422,434.227812,0,456.236792
PC O-10:0,411.238592,412.245872,429.272422,434.227812,0,456.236792
PC 10:0,425.217857,426.225137,443.251687,448.207077,0,470.216057
LPC 11:0,425.254242,426.261522,443.288072,448.243462,0,470.252442
PC O-12:1,437.254242,438.261522,455.288072,460.243462,0,482.252442
LPC 12:0,439.269892,440.277172,457.303722,462.259112,0,484.268092
PC 12:4,445.186557,446.193837,463.220387,468.175777,0,490.184757
PC O-13:1,451.269892,452.277172,469.303722,474.259112,0,496.268092
LPC O-14:1,451.306277,452.313557,469.340107,474.295497,0,496.304477
PC 12:0,453.249157,454.256437,471.282987,476.238377,0,498.247357
LPC 13:0,453.285542,454.292822,471.319372,476.274762,0,498.283742
LPC O-14:0,453.321927,454.329207,471.355757,476.311147,0,498.320127
LPC 14:1,465.285542,466.292822,483.319372,488.274762,0,510.283742
LPC O-15:1,465.321927,466.329207,483.355757,488.311147,0,510.320127
LPC 14:0,467.301192,468.308472,485.335022,490.290412,0,512.299392
PC O-14:0,467.301192,468.308472,485.335022,490.290412,0,512.299392
LPC O-15:0,467.337577,468.344857,485.371407,490.326797,0,512.335777
LPC 15:1,479.301192,480.308472,497.335022,502.290412,0,524.299392
LPC O-16:1,479.337577,480.344857,497.371407,502.326797,0,524.335777
PC 14:0,481.280457,482.287737,499.314287,504.269677,0,526.278657
LPC 15:0,481.316842,482.324122,499.350672,504.306062,0,526.315042
LPC O-16:0,481.353227,482.360507,499.387057,504.342447,0,526.351427
LPC 16:1,493.316842,494.324122,511.350672,516.306062,0,538.315042
LPC O-17:1,493.353227,494.360507,511.387057,516.342447,0,538.351427
LPC 16:0,495.332492,496.339772,513.366322,518.321712,0,540.330692
PC O-16:0,495.332492,496.339772,513.366322,518.321712,0,540.330692
LPC O-17:0,495.368877,496.376157,513.402707,518.358097,0,540.367077
