ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
LPE 12:0,397.222942,398.230222,415.256772,420.212162,396.215662,442.221142
PE 12:0,411.202207,412.209487,429.236037,434.191427,410.194927,456.200407
LPE 13:0,411.238592,412.245872,429.272422,434.227812,410.231312,456.236792
LPE 14:1,423.238592,424.245872,441.272422,446.227812,422.231312,468.236792
LPE 14:0,425.254242,426.261522,443.288072,448.243462,424.246962,470.252442
LPE 15:1,437.254242,438.261522,455.288072,460.243462,436.246962,482.252442
LPE O-16:1,437.290627,438.297907,455.324457,460.279847,436.283347,482.288827
LPE 15:0,439.269892,440.277172,457.303722,462.259112,438.262612,484.268092
LPE O-15:1;O,439.269892,440.277172,457.303722,462.259112,438.262612,484.268092
LPE O-16:0,439.306277,440.313557,457.340107,462.295497,438.298997,484.304477
LPE O-15:0;O,441.285542,442.292822,459.319372,464.274762,440.278262,486.283742
LPE 16:1,451.269892,452.277172,469.303722,474.259112,450.262612,496.268092
LPE 16:0,453.285542,454.292822,471.319372,476.274762,452.278262,498.283742
LPE O-16:1;O,453.285542,454.292822,471.319372,476.274762,452.278262,498.283742
LPE O-16:0;O,455.301192,456.308472,473.335022,478.290412,454.293912,500.299392
LPE 17:2,463.269892,464.277172,481.303722,486.259112,462.262612,508.268092
LPE 17:1,465.285542,466.292822,483.319372,488.274762,464.278262,510.283742
LPE O-18:1,465.321927,466.329207,483.355757,488.311147,464.314647,510.320127
PE 16:0,467.264807,468.272087,485.298637,490.254027,466.257527,512.263007
LPE 17:0,467.301192,468.308472,485.335022,490.290412,466.293912,512.299392
LPE O-17:1;O,467.301192,468.308472,485.335022,490.290412,466.293912,512.299392
LPE O-18:0,467.337577,468.344857,485.371407,490.326797,466.330297,512.335777
LPE O-17:0;O,469.316842,470.324122,487.350672,492.306062,468.309562,514.315042
LPE 18:4,473.254242,474.261522,491.288072,496.243462,472.246962,518.252442
LPE 18:3,475.269892,476.277172,493.303722,498.259112,474.262612,520.268092
LPE 18:2,477.285542,478.292822,495.319372,500.274762,476.278262,522.283742
LPE O-19:2,477.321927,478.329207,495.355757,500.311147,476.314647,522.320127
LPE 18:1,479.301192,480.308472,497.335022,502.290412,478.293912,524.299392
LPE 18:0,481.316842,482.324122,499.350672,504.306062,480.309562,526.315042
LPE O-18:1;O,481.316842,482.324122,499.350672,504.306062,480.309562,526.315042
LPE O-20:4,487.306277,488.313557,505.340107,510.295497,486.298997,532.304477
LPE 19:1,493.316842,494.324122,511.350672,516.306062,492.309562,538.315042
LPE O-20:1,493.353227,494.360507,511.387057,516.342447,492.345947,538.351427
LPE 19:0,495.332492,496.339772,513.366322,518.321712,494.325212,540.330692
LPE O-19:1;O,495.332492,496.339772,513.366322,518.321712,494.325212,540.330692
LPE O-20:0,495.368877,496.376157,513.402707,518.358097,494.361597,540.367077
LPE O-19:0;O,497.348142,498.355422,515.381972,520.337362,496.340862,542.346342
LPE 20:5,499.269892,500.277172,517.303722,522.259112,498.262612,544.268092
LPE 20:4,501.285542,502.292822,519.319372,524.274762,500.278262,546.283742
LPE 20:3,503.301192,504.308472,521.335022,526.290412,502.293912,548.299392
LPE 20:2,505.316842,506.324122,523.350672,528.306062,504.309562,550.315042
LPE 20:1,507.332492,508.339772,525.366322,530.321712,506.325212,552.330692
LPE 20:0,509.348142,510.355422,527.381972,532.337362,508.340862,554.346342
LPE O-20:0;O,511.363792,512.371072,529.397622,534.353012,510.356512,556.361992
