ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
LPG 12:0,428.217523,429.224803,446.251353,451.206743,427.210243,0
PG 12:0,442.196788,443.204068,460.230618,465.186008,441.189508,0
LPG 13:0,442.233173,443.240453,460.267003,465.222393,441.225893,0
LPG 14:1,454.233173,455.240453,472.267003,477.222393,453.225893,0
LPG 14:0,456.248823,457.256103,474.282653,479.238043,455.241543,0
LPG 15:1,468.248823,469.256103,486.282653,491.238043,467.241543,0
LPG O-16:1,468.285208,469.292488,486.319038,491.274428,467.277928,0
LPG 15:0,470.264473,471.271753,488.298303,493.253693,469.257193,0
LPG O-16:0,470.300858,471.308138,488.334688,493.290078,469.293578,0
LPG 16:1,482.264473,483.271753,500.298303,505.253693,481.257193,0
LPG 16:0,484.280123,485.287403,502.313953,507.269343,483.272843,0
LPG 17:2,494.264473,495.271753,512.298303,517.253693,493.257193,0
LPG 17:1,496.280123,497.287403,514.313953,519.269343,495.272843,0
LPG O-18:1,496.316508,497.323788,514.350338,519.305728,495.309228,0
PG 16:0,498.259388,499.266668,516.293218,521.248608,497.252108,0
LPG 17:0,498.295773,499.303053,516.329603,521.284993,497.288493,0
LPG O-18:0,498.332158,499.339438,516.365988,521.321378,497.324878,0
LPG 18:4,504.248823,505.256103,522.282653,527.238043,503.241543,0
LPG 18:3,506.264473,507.271753,524.298303,529.253693,505.257193,0
LPG 18:2,508.280123,509.287403,526.313953,531.269343,507.272843,0
LPG 18:1,510.295773,511.303053,528.329603,533.284993,509.288493,0
LPG 18:0,512.311423,513.318703,530.345253,535.300643,511.304143,0
LPG 19:1,524.311423,525.318703,542.345253,547.300643,523.304143,0
LPG O-20:1,524.347808,525.355088,542.381638,547.337028,523.340528,0
LPG 19:0,526.327073,527.334353,544.360903,549.316293,525.319793,0
LPG O-20:0,526.363458,527.370738,544.397288,549.352678,525.356178,0
LPG 20:5,530.264473,531.271753,548.298303,553.253693,529.257193,0
LPG 20:4,532.280123,533.287403,550.313953,555.269343,531.272843,0
LPG 20:3,534.295773,535.303053,552.329603,557.284993,533.288493,0
LPG 20:2,536.311423,537.318703,554.345253,559.300643,535.304143,0
LPG 20:1,538.327073,539.334353,556.360903,561.316293,537.319793,0
LPG 20:0,540.342723,541.350003,558.376553,563.331943,539.335443,0
PG 20:0,554.321988,555.329268,572.355818,577.311208,553.314708,0
LPG 21:0,554.358373,555.365653,572.392203,577.347593,553.351093,0
LPG 22:6,556.280123,557.287403,574.313953,579.269343,555.272843,0
LPG 22:4,560.311423,561.318703,578.345253,583.300643,559.304143,0
LPG 22:2,564.342723,565.350003,582.376553,587.331943,563.335443,0
LPG 22:1,566.358373,567.365653,584.392203,589.347593,565.351093,0
PG 20:1;O,568.301253,569.308533,586.335083,591.290473,567.293973,0
LPG 22:0,568.374023,569.381303,586.407853,591.363243,567.366743,0
PG 21:1;O,582.316903,583.324183,600.350733,605.306123,581.309623,0
PG 20:1;O2,584.296168,585.303448,602.329998,607.285388,583.288888,0
PG 22:2;O,594.316903,595.324183,612.350733,617.306123,593.309623,0
PG 21:1;O2,598.311818,599.319098,616.345648,621.301038,597.304538,0
PG 23:2;O,608.332553,609.339833,626.366383,631.321773,607.325273,0
PG 22:2;O2,610.311818,611.319098,628.345648,633.301038,609.304538,0
PG 24:0,610.384588,611.391868,628.418418,633.373808,609.377308,0
PG 23:3;O2,622.311818,623.319098,640.345648,645.301038,621.304538,0
PG 23:2;O2,624.327468,625.334748,642.361298,647.316688,623.320188,0
PG 25:0,624.400238,625.407518,642.434068,647.389458,623.392958,0
PG 24:3;O2,636.327468,637.334748,654.361298,659.316688,635.320188,0
PG 26:1,636.400238,637.407518,654.434068,659.389458,635.392958,0
PG 23:3;O3,638.306733,639.314013,656.340563,661.295953,637.299453,0
PG 24:2;O2,638.343118,639.350398,656.376948,661.332338,637.335838,0
PG 25:1;O,638.379503,639.386783,656.413333,661.368723,637.372223,0
PG 26:0,638.415888,639.423168,656.449718,661.405108,637.408608,0
PG 23:2;O3,640.322383,641.329663,658.356213,663.311603,639.315103,0
PG 25:4;O2,648.327468,649.334748,666.361298,671.316688,647.320188,0
PG 25:3;O2,650.343118,651.350398,668.376948,673.332338,649.335838,0
PG 27:1,650.415888,651.423168,668.449718,673.405108,649.408608,0
PG O-28:1,650.452273,651.459553,668.486103,673.441493,649.444993,0
PG 24:3;O3,652.322383,653.329663,670.356213,675.311603,651.315103,0
PG 27:0,652.431538,653.438818,670.465368,675.420758,651.424258,0
PG O-28:0,652.467923,653.475203,670.501753,675.457143,651.460643,0
PG 24:2;O3,654.338033,655.345313,672.371863,677.327253,653.330753,0
PG 25:1;O2,654.374418,655.381698,672.408248,677.363638,653.367138,0
PG 26:4;O2,662.343118,663.350398,680.376948,685.332338,661.335838,0
PG 28:2,662.415888,663.423168,680.449718,685.405108,661.408608,0
PG 25:4;O3,664.322383,665.329663,682.356213,687.311603,663.315103,0
PG 26:3;O2,664.358768,665.366048,682.392598,687.347988,663.351488,0
PG 27:2;O,664.395153,665.402433,682.428983,687.384373,663.387873,0
PG 28:1,664.431538,665.438818,682.465368,687.420758,663.424258,0
PG O-29:1,664.467923,665.475203,682.501753,687.457143,663.460643,0
PG 25:3;O3,666.338033,667.345313,684.371863,689.327253,665.330753,0
PG 28:0,666.447188,667.454468,684.481018,689.436408,665.439908,0
PG O-29:0,666.483573,667.490853,684.517403,689.472793,665.476293,0
PG 29:2,676.431538,677.438818,694.465368,699.420758,675.424258,0
PG O-30:2,676.467923,677.475203,694.501753,699.457143,675.460643,0
PG 26:4;O3,678.338033,679.345313,696.371863,701.327253,677.330753,0
PG 29:1,678.447188,679.454468,696.481018,701.436408,677.439908,0
PG O-30:1,678.483573,679.490853,696.517403,701.472793,677.476293,0
PG 26:3;O3,680.353683,681.360963,698.387513,703.342903,679.346403,0
PG 27:2;O2,680.390068,681.397348,698.423898,703.379288,679.382788,0
PG 29:0,680.462838,681.470118,698.496668,703.452058,679.455558,0
PG O-30:0,680.499223,681.506503,698.533053,703.488443,679.491943,0
PG 30:4,686.415888,687.423168,704.449718,709.405108,685.408608,0
PG 30:3,688.431538,689.438818,706.465368,711.420758,687.424258,0
PG 30:2,690.447188,691.454468,708.481018,713.436408,689.439908,0
PG O-31:2,690.483573,691.490853,708.517403,713.472793,689.476293,0
PG 28:3;O2,692.390068,693.397348,710.423898,715.379288,691.382788,0
PG 30:1,692.462838,693.470118,710.496668,715.452058,691.455558,0
PG O-31:1,692.499223,693.506503,710.533053,715.488443,691.491943,0
PG 28:2;O2,694.405718,695.412998,712.439548,717.394938,693.398438,0
PG 30:0,694.478488,695.485768,712.512318,717.467708,693.471208,0
PG O-31:0,694.514873,695.522153,712.548703,717.504093,693.507593,0
PG 31:4,700.431538,701.438818,718.465368,723.420758,699.424258,0
PG 31:3,702.447188,703.454468,720.481018,725.436408,701.439908,0
PG 31:2,704.462838,705.470118,722.496668,727.452058,703.455558,0
PG O-32:2,704.499223,705.506503,722.533053,727.488443,703.491943,0
PG 31:1,706.478488,707.485768,724.512318,729.467708,705.471208,0
PG O-32:1,706.514873,707.522153,724.548703,729.504093,705.507593,0
PG 28:3;O3,708.384983,709.392263,726.418813,731.374203,707.377703,0
PG 31:0,708.494138,709.501418,726.527968,731.483358,707.486858,0
PG O-32:0,708.530523,709.537803,726.564353,731.519743,707.523243,0
PG 28:2;O3,710.400633,711.407913,728.434463,733.389853,709.393353,0
PG 32:5,712.431538,713.438818,730.465368,735.420758,711.424258,0
PG 32:4,714.447188,715.454468,732.481018,737.436408,713.439908,0
PG dO-34:4,714.519958,715.527238,732.553788,737.509178,713.512678,0
PG 32:3,716.462838,717.470118,734.496668,739.452058,715.455558,0
PG O-33:3,716.499223,717.506503,734.533053,739.488443,715.491943,0
PG 30:4;O2,718.405718,719.412998,736.439548,741.394938,717.398438,0
PG 32:2,718.478488,719.485768,736.512318,741.467708,717.471208,0
PG O-33:2,718.514873,719.522153,736.548703,741.504093,717.507593,0
PG 30:3;O2,720.421368,721.428648,738.455198,743.410588,719.414088,0
PG 32:1,720.494138,721.501418,738.527968,743.483358,719.486858,0
PG O-33:1,720.530523,721.537803,738.564353,743.519743,719.523243,0
PG 32:0,722.509788,723.517068,740.543618,745.499008,721.502508,0
PG O-33:0,722.546173,723.553453,740.580003,745.535393,721.538893,0
PG 33:5,726.447188,727.454468,744.481018,749.436408,725.439908,0
PG O-34:5,726.483573,727.490853,744.517403,749.472793,725.476293,0
PG 33:4,728.462838,729.470118,746.496668,751.452058,727.455558,0
PG O-34:4,728.499223,729.506503,746.533053,751.488443,727.491943,0
PG 33:3,730.478488,731.485768,748.512318,753.467708,729.471208,0
PG O-34:3,730.514873,731.522153,748.548703,753.504093,729.507593,0
PG 33:2,732.494138,733.501418,750.527968,755.483358,731.486858,0
PG O-34:2,732.530523,733.537803,750.564353,755.519743,731.523243,0
PG 30:4;O3,734.400633,735.407913,752.434463,757.389853,733.393353,0
PG 33:1,734.509788,735.517068,752.543618,757.499008,733.502508,0
PG O-34:1,734.546173,735.553453,752.580003,757.535393,733.538893,0
PG 30:3;O3,736.416283,737.423563,754.450113,759.405503,735.409003,0
PG 33:0,736.525438,737.532718,754.559268,759.514658,735.518158,0
PG O-34:0,736.561823,737.569103,754.595653,759.551043,735.554543,0
PG 34:6,738.447188,739.454468,756.481018,761.436408,737.439908,0
PG 34:5,740.462838,741.470118,758.496668,763.452058,739.455558,0
PG 34:4,742.478488,743.485768,760.512318,765.467708,741.471208,0
PG 34:3,744.494138,745.501418,762.527968,767.483358,743.486858,0
PG O-35:3,744.530523,745.537803,762.564353,767.519743,743.523243,0
PG 34:2,746.509788,747.517068,764.543618,769.499008,745.502508,0
PG O-35:2,746.546173,747.553453,764.580003,769.535393,745.538893,0
PG 34:1,748.525438,749.532718,766.559268,771.514658,747.518158,0
PG O-35:1,748.561823,749.569103,766.595653,771.551043,747.554543,0
PG 34:0,750.541088,751.548368,768.574918,773.530308,749.533808,0
PG O-35:0,750.577473,751.584753,768.611303,773.566693,749.570193,0
PG 35:6,752.462838,753.470118,770.496668,775.452058,751.455558,0
PG O-36:6,752.499223,753.506503,770.533053,775.488443,751.491943,0
PG 35:5,754.478488,755.485768,772.512318,777.467708,753.471208,0
PG O-36:5,754.514873,755.522153,772.548703,777.504093,753.507593,0
PG 35:4,756.494138,757.501418,774.527968,779.483358,755.486858,0
PG O-36:4,756.530523,757.537803,774.564353,779.519743,755.523243,0
PG 35:3,758.509788,759.517068,776.543618,781.499008,757.502508,0
PG O-36:3,758.546173,759.553453,776.580003,781.535393,757.538893,0
PG dO-38:9,760.504308,761.511588,778.538138,783.493528,759.497028,0
PG 35:2,760.525438,761.532718,778.559268,783.514658,759.518158,0
PG O-36:2,760.561823,761.569103,778.595653,783.551043,759.554543,0
PG 36:8,762.447188,763.454468,780.481018,785.436408,761.439908,0
PG 35:1,762.541088,763.548368,780.574918,785.530308,761.533808,0
PG O-36:1,762.577473,763.584753,780.611303,785.566693,761.570193,0
PG 36:7,764.462838,765.470118,782.496668,787.452058,763.455558,0
PG 35:0,764.556738,765.564018,782.590568,787.545958,763.549458,0
PG O-36:0,764.593123,765.600403,782.626953,787.582343,763.585843,0
PG 36:6,766.478488,767.485768,784.512318,789.467708,765.471208,0
PG 36:5,768.494138,769.501418,786.527968,791.483358,767.486858,0
PG 36:4,770.509788,771.517068,788.543618,793.499008,769.502508,0
PG 36:3,772.525438,773.532718,790.559268,795.514658,771.518158,0
