ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
LPI 12:0,516.233568,517.240848,534.267398,539.222788,515.226288,0
LPI 13:0,530.249218,531.256498,548.283048,553.238438,529.241938,0
LPI 14:1,542.249218,543.256498,560.283048,565.238438,541.241938,0
LPI 14:0,544.264868,545.272148,562.298698,567.254088,543.257588,0
LPI 15:1,556.264868,557.272148,574.298698,579.254088,555.257588,0
LPI O-16:1,556.301253,557.308533,574.335083,579.290473,555.293973,0
LPI 15:0,558.280518,559.287798,576.314348,581.269738,557.273238,0
LPI O-16:0,558.316903,559.324183,576.350733,581.306123,557.309623,0
LPI 16:1,570.280518,571.287798,588.314348,593.269738,569.273238,0
LPI 16:0,572.296168,573.303448,590.329998,595.285388,571.288888,0
LPI 17:2,582.280518,583.287798,600.314348,605.269738,581.273238,0
LPI 17:1,584.296168,585.303448,602.329998,607.285388,583.288888,0
LPI O-18:1,584.332553,585.339833,602.366383,607.321773,583.325273,0
LPI 17:0,586.311818,587.319098,604.345648,609.301038,585.304538,0
LPI O-18:0,586.348203,587.355483,604.382033,609.337423,585.340923,0
LPI 18:4,592.264868,593.272148,610.298698,615.254088,591.257588,0
LPI 18:3,594.280518,595.287798,612.314348,617.269738,593.273238,0
LPI 18:2,596.296168,597.303448,614.329998,619.285388,595.288888,0
LPI 18:1,598.311818,599.319098,616.345648,621.301038,597.304538,0
LPI 18:0,600.327468,601.334748,618.361298,623.316688,599.320188,0
LPI 19:1,612.327468,613.334748,630.361298,635.316688,611.320188,0
LPI O-20:1,612.363853,613.371133,630.397683,635.353073,611.356573,0
LPI 19:0,614.343118,615.350398,632.376948,637.332338,613.335838,0
LPI O-20:0,614.379503,615.386783,632.413333,637.368723,613.372223,0
LPI 20:5,618.280518,619.287798,636.314348,641.269738,617.273238,0
LPI 20:4,620.296168,621.303448,638.329998,643.285388,619.288888,0
LPI 20:3,622.311818,623.319098,640.345648,645.301038,621.304538,0
LPI 20:2,624.327468,625.334748,642.361298,647.316688,623.320188,0
LPI 20:1,626.343118,627.350398,644.376948,649.332338,625.335838,0
LPI 20:0,628.358768,629.366048,646.392598,651.347988,627.351488,0
LPI 21:0,642.374418,643.381698,660.408248,665.363638,641.367138,0
LPI 22:6,644.296168,645.303448,662.329998,667.285388,643.288888,0
LPI 22:4,648.327468,649.334748,666.361298,671.316688,647.320188,0
LPI 22:2,652.358768,653.366048,670.392598,675.347988,651.351488,0
LPI 22:1,654.374418,655.381698,672.408248,677.363638,653.367138,0
PI 21:1,656.317298,657.324578,674.351128,679.306518,655.310018,0
LPI 22:0,656.390068,657.397348,674.423898,679.379288,655.382788,0
PI 22:1,670.332948,671.340228,688.366778,693.322168,669.325668,0
PI 21:1;O,672.312213,673.319493,690.346043,695.301433,671.304933,0
