ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
LPS 12:0,441.212772,442.220052,459.246602,464.201992,440.205492,0
PS 12:0,455.192037,456.199317,473.225867,478.181257,454.184757,0
LPS 13:0,455.228422,456.235702,473.262252,478.217642,454.221142,0
LPS 14:1,467.228422,468.235702,485.262252,490.217642,466.221142,0
LPS 14:0,469.244072,470.251352,487.277902,492.233292,468.236792,0
LPS 15:1,481.244072,482.251352,499.277902,504.233292,480.236792,0
LPS O-16:1,481.280457,482.287737,499.314287,504.269677,480.273177,0
LPS 15:0,483.259722,484.267002,501.293552,506.248942,482.252442,0
LPS O-15:1;O,483.259722,484.267002,501.293552,506.248942,482.252442,0
LPS O-16:0,483.296107,484.303387,501.329937,506.285327,482.288827,0
LPS O-15:0;O,485.275372,486.282652,503.309202,508.264592,484.268092,0
LPS 16:1,495.259722,496.267002,513.293552,518.248942,494.252442,0
LPS 16:0,497.275372,498.282652,515.309202,520.264592,496.268092,0
LPS O-16:1;O,497.275372,498.282652,515.309202,520.264592,496.268092,0
LPS O-16:0;O,499.291022,500.298302,517.324852,522.280242,498.283742,0
LPS 17:2,507.259722,508.267002,525.293552,530.248942,506.252442,0
LPS 17:1,509.275372,510.282652,527.309202,532.264592,508.268092,0
LPS O-18:1,509.311757,510.319037,527.345587,532.300977,508.304477,0
PS 16:0,511.254637,512.261917,529.288467,534.243857,510.247357,0
LPS 17:0,511.291022,512.298302,529.324852,534.280242,510.283742,0
LPS O-17:1;O,511.291022,512.298302,529.324852,534.280242,510.283742,0
LPS O-18:0,511.327407,512.334687,529.361237,534.316627,510.320127,0
LPS O-17:0;O,513.306672,514.313952,531.340502,536.295892,512.299392,0
LPS 18:4,517.244072,518.251352,535.277902,540.233292,516.236792,0
LPS 18:3,519.259722,520.267002,537.293552,542.248942,518.252442,0
LPS 18:2,521.275372,522.282652,539.309202,544.264592,520.268092,0
LPS 18:1,523.291022,524.298302,541.324852,546.280242,522.283742,0
LPS 18:0,525.306672,526.313952,543.340502,548.295892,524.299392,0
LPS O-18:1;O,525.306672,526.313952,543.340502,548.295892,524.299392,0
LPS 19:1,537.306672,538.313952,555.340502,560.295892,536.299392,0
LPS O-20:1,537.343057,538.350337,555.376887,560.332277,536.335777,0
LPS 19:0,539.322322,540.329602,557.356152,562.311542,538.315042,0
LPS O-19:1;O,539.322322,540.329602,557.356152,562.311542,538.315042,0
LPS O-20:0,539.358707,540.365987,557.392537,562.347927,538.351427,0
LPS O-19:0;O,541.337972,542.345252,559.371802,564.327192,540.330692,0
LPS 20:5,543.259722,544.267002,561.293552,566.248942,542.252442,0
LPS 20:4,545.275372,546.282652,563.309202,568.264592,544.268092,0
LPS 20:3,547.291022,548.298302,565.324852,570.280242,546.283742,0
LPS 20:2,549.306672,550.313952,567.340502,572.295892,548.299392,0
LPS 20:1,551.322322,552.329602,569.356152,574.311542,550.315042,0
LPS 20:0,553.337972,554.345252,571.371802,576.327192,552.330692,0
LPS O-20:0;O,555.353622,556.360902,573.387452,578.342842,554.346342,0
PS 20:0,567.317237,568.324517,585.351067,590.306457,566.309957,0
LPS 21:0,567.353622,568.360902,585.387452,590.342842,566.346342,0
LPS 22:6,569.275372,570.282652,587.309202,592.264592,568.268092,0
LPS O-21:0;O,569.369272,570.376552,587.403102,592.358492,568.361992,0
LPS 22:4,573.306672,574.313952,591.340502,596.295892,572.299392,0
LPS 22:2,577.337972,578.345252,595.371802,600.327192,576.330692,0
LPS 22:1,579.353622,580.360902,597.387452,602.342842,578.346342,0
PS 20:1;O,581.296502,582.303782,599.330332,604.285722,580.289222,0
LPS 22:0,581.369272,582.376552,599.403102,604.358492,580.361992,0
LPS O-22:0;O,583.384922,584.392202,601.418752,606.374142,582.377642,0
PS 21:1;O,595.312152,596.319432,613.345982,618.301372,594.304872,0
PS 20:1;O2,597.291417,598.298697,615.325247,620.280637,596.284137,0
LPS O-23:0;O,597.400572,598.407852,615.434402,620.389792,596.393292,0
PS 22:2;O,607.312152,608.319432,625.345982,630.301372,606.304872,0
LPS O-24:1;O,609.400572,610.407852,627.434402,632.389792,608.393292,0
PS 21:1;O2,611.307067,612.314347,629.340897,634.296287,610.299787,0
LPS O-24:0;O,611.416222,612.423502,629.450052,634.405442,610.408942,0
PS 23:2;O,621.327802,622.335082,639.361632,644.317022,620.320522,0
PS 22:2;O2,623.307067,624.314347,641.340897,646.296287,622.299787,0
PS 24:0,623.379837,624.387117,641.413667,646.369057,622.372557,0
LPS O-25:1;O,623.416222,624.423502,641.450052,646.405442,622.408942,0
LPS O-25:0;O,625.431872,626.439152,643.465702,648.421092,624.424592,0
PS 23:3;O2,635.307067,636.314347,653.340897,658.296287,634.299787,0
PS 23:2;O2,637.322717,638.329997,655.356547,660.311937,636.315437,0
PS 25:0,637.395487,638.402767,655.429317,660.384707,636.388207,0
LPS O-26:1;O,637.431872,638.439152,655.465702,660.421092,636.424592,0
PS 24:3;O2,649.322717,650.329997,667.356547,672.311937,648.315437,0
PS 26:1,649.395487,650.402767,667.429317,672.384707,648.388207,0
LPS O-27:2;O,649.431872,650.439152,667.465702,672.421092,648.424592,0
PS 23:3;O3,651.301982,652.309262,669.335812,674.291202,650.294702,0
PS 24:2;O2,651.338367,652.345647,669.372197,674.327587,650.331087,0
PS 25:1;O,651.374752,652.382032,669.408582,674.363972,650.367472,0
PS 26:0,651.411137,652.418417,669.444967,674.400357,650.403857,0
LPS O-27:1;O,651.447522,652.454802,669.481352,674.436742,650.440242,0
PS 23:2;O3,653.317632,654.324912,671.351462,676.306852,652.310352,0
PS 25:4;O2,661.322717,662.329997,679.356547,684.311937,660.315437,0
PS 25:3;O2,663.338367,664.345647,681.372197,686.327587,662.331087,0
PS 27:1,663.411137,664.418417,681.444967,686.400357,662.403857,0
PS O-28:1,663.447522,664.454802,681.481352,686.436742,662.440242,0
PS 24:3;O3,665.317632,666.324912,683.351462,688.306852,664.310352,0
PS 27:0,665.426787,666.434067,683.460617,688.416007,664.419507,0
LPS O-28:1;O,665.463172,666.470452,683.497002,688.452392,664.455892,0
PS O-28:0,665.463172,666.470452,683.497002,688.452392,664.455892,0
PS 24:2;O3,667.333282,668.340562,685.367112,690.322502,666.326002,0
PS 25:1;O2,667.369667,668.376947,685.403497,690.358887,666.362387,0
PS 26:4;O2,675.338367,676.345647,693.372197,698.327587,674.331087,0
PS 28:2,675.411137,676.418417,693.444967,698.400357,674.403857,0
PS 25:4;O3,677.317632,678.324912,695.351462,700.306852,676.310352,0
PS 26:3;O2,677.354017,678.361297,695.387847,700.343237,676.346737,0
PS 27:2;O,677.390402,678.397682,695.424232,700.379622,676.383122,0
PS 28:1,677.426787,678.434067,695.460617,700.416007,676.419507,0
LPS O-29:2;O,677.463172,678.470452,695.497002,700.452392,676.455892,0
PS O-29:1,677.463172,678.470452,695.497002,700.452392,676.455892,0
PS 25:3;O3,679.333282,680.340562,697.367112,702.322502,678.326002,0
