ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
SM 30:1;O2,646.504976,647.512256,664.538806,669.494196,645.497696,691.503176
SM 30:0;O2,648.520626,649.527906,666.554456,671.509846,647.513346,693.518826
SM 31:0;O2,662.536276,663.543556,680.570106,685.525496,661.528996,707.534476
SM 32:2;O2,672.520626,673.527906,690.554456,695.509846,671.513346,717.518826
SM 32:1;O2,674.536276,675.543556,692.570106,697.525496,673.528996,719.534476
SM 32:0;O2,676.551926,677.559206,694.585756,699.541146,675.544646,721.550126
SM 33:2;O2,686.536276,687.543556,704.570106,709.525496,685.528996,731.534476
SM 33:1;O2,688.551926,689.559206,706.585756,711.541146,687.544646,733.550126
SM 33:0;O2,690.567576,691.574856,708.601406,713.556796,689.560296,735.565776
SM 34:2;O2,700.551926,701.559206,718.585756,723.541146,699.544646,745.550126
SM 34:1;O2,702.567576,703.574856,720.601406,725.556796,701.560296,747.565776
SM 34:0;O2,704.583226,705.590506,722.617056,727.572446,703.575946,749.581426
SM 35:1;O2,716.583226,717.590506,734.617056,739.572446,715.575946,761.581426
SM 34:1;O3,718.562491,719.569771,736.596321,741.551711,717.555211,763.560691
SM 35:0;O2,718.598876,719.606156,736.632706,741.588096,717.591596,763.597076
SM 36:3;O2,726.567576,727.574856,744.601406,749.556796,725.560296,771.565776
SM 36:2;O2,728.583226,729.590506,746.617056,751.572446,727.575946,773.581426
SM 36:1;O2,730.598876,731.606156,748.632706,753.588096,729.591596,775.597076
SM 36:0;O2,732.614526,733.621806,750.648356,755.603746,731.607246,777.612726
SM 37:1;O2,744.614526,745.621806,762.648356,767.603746,743.607246,789.612726
SM 38:3;O2,754.598876,755.606156,772.632706,777.588096,753.591596,799.597076
SM 38:2;O2,756.614526,757.621806,774.648356,779.603746,755.607246,801.612726
SM 38:1;O2,758.630176,759.637456,776.664006,781.619396,757.622896,803.628376
SM 38:0;O2,760.645826,761.653106,778.679656,783.635046,759.638546,805.644026
SM 39:2;O2,770.630176,771.637456,788.664006,793.619396,769.622896,815.628376
SM 39:1;O2,772.645826,773.653106,790.679656,795.635046,771.638546,817.644026
SM 39:0;O2,774.661476,775.668756,792.695306,797.650696,773.654196,819.659676
SM 40:3;O2,782.630176,783.637456,800.664006,805.619396,781.622896,827.628376
SM 40:2;O2,784.645826,785.653106,802.679656,807.635046,783.638546,829.644026
SM 40:1;O2,786.661476,787.668756,804.695306,809.650696,785.654196,831.659676
SM 40:0;O2,788.677126,789.684406,806.710956,811.666346,787.669846,833.675326
SM 41:2;O2,798.661476,799.668756,816.695306,821.650696,797.654196,843.659676
SM 41:1;O2,800.677126,801.684406,818.710956,823.666346,799.669846,845.675326
SM 41:0;O2,802.692776,803.700056,820.726606,825.681996,801.685496,847.690976
SM 42:3;O2,810.661476,811.668756,828.695306,833.650696,809.654196,855.659676
SM 42:2;O2,812.677126,813.684406,830.710956,835.666346,811.669846,857.675326
SM 42:1;O2,814.692776,815.700056,832.726606,837.681996,813.685496,859.690976
SM 42:0;O2,816.708426,817.715706,834.742256,839.697646,815.701146,861.706626
SM 43:2;O2,826.692776,827.700056,844.726606,849.681996,825.685496,871.690976
SM 43:1;O2,828.708426,829.715706,846.742256,851.697646,827.701146,873.706626
SM 44:2;O2,840.708426,841.715706,858.742256,863.697646,839.701146,885.706626
SM 44:1;O2,842.724076,843.731356,860.757906,865.713296,841.716796,887.722276
SM 44:0;O2,844.739726,845.747006,862.773556,867.728946,843.732446,889.737926
